epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,639.788,1.12107,0.93931,1.06001,0.78256,0.86617,0.83351,0.48727,1.372,1.01538,1.06077,0.000690966,0.000690966,0.000690966
43,655.193,1.11183,0.93822,1.04462,0.76975,0.86438,0.81647,0.51198,1.24035,1.00155,1.03053,0.000689062,0.000689062,0.000689062
44,670.695,1.06074,0.89239,1.04907,0.74087,0.85659,0.82475,0.48142,1.49664,1.03274,1.096,0.000687159,0.000687159,0.000687159
45,686.066,1.13171,0.96736,1.06395,0.83282,0.87049,0.88005,0.54995,1.19796,0.91107,1.00635,0.000685256,0.000685256,0.000685256
46,701.64,1.13085,0.9005,1.03999,0.83955,0.82661,0.90673,0.54203,1.30484,0.95527,1.02917,0.000683353,0.000683353,0.000683353
47,717.085,1.06909,0.88203,1.04184,0.77402,0.71709,0.75028,0.48095,1.33604,1.01264,1.06596,0.000681449,0.000681449,0.000681449
48,732.613,1.03689,0.93344,1.03362,0.82715,0.79858,0.81041,0.47909,1.33426,0.95958,1.05969,0.000679546,0.000679546,0.000679546
49,748.231,1.08003,0.87059,1.03431,0.79087,0.85148,0.82986,0.44838,1.53454,0.95094,1.14736,0.000677643,0.000677643,0.000677643
50,763.695,1.06816,0.89307,1.04618,0.76347,0.83431,0.83938,0.51252,1.36452,0.9899,1.08886,0.00067574,0.00067574,0.00067574
51,779.326,1.0466,0.84574,1.02537,0.88795,0.75865,0.85691,0.54948,1.17295,0.92901,1.04946,0.000673836,0.000673836,0.000673836
52,794.566,1.07458,0.9079,1.05272,0.79968,0.74899,0.79849,0.50983,1.13369,0.91925,1.0011,0.000671933,0.000671933,0.000671933
53,809.617,1.08169,0.86976,1.06285,0.86477,0.75724,0.85982,0.54312,1.11929,0.90783,0.99666,0.00067003,0.00067003,0.00067003
54,824.599,1.04609,0.86553,1.06471,0.79226,0.77754,0.79365,0.45479,1.37547,0.92635,1.06246,0.000668126,0.000668126,0.000668126
55,839.639,1.08749,0.87162,1.04675,0.81756,0.76902,0.83266,0.48935,1.32307,0.94196,1.06502,0.000666223,0.000666223,0.000666223
56,855.085,1.08657,0.86154,1.04418,0.87519,0.7706,0.8632,0.55137,1.20355,0.87183,1.02171,0.00066432,0.00066432,0.00066432
57,870.269,0.9991,0.81814,1.01611,0.84232,0.84945,0.86551,0.56855,1.25371,0.87293,1.04821,0.000662417,0.000662417,0.000662417
58,885.394,1.0389,0.83334,1.02556,0.87589,0.83284,0.87542,0.56093,1.22978,0.85867,1.04419,0.000660513,0.000660513,0.000660513
59,900.655,1.03881,0.82335,1.02819,0.76768,0.88564,0.88409,0.53228,1.286,0.8894,1.05781,0.00065861,0.00065861,0.00065861
60,915.858,1.03697,0.82759,1.02294,0.79802,0.90815,0.88384,0.53392,1.27659,0.90122,1.06658,0.000656707,0.000656707,0.000656707
61,931.068,0.97824,0.80086,1.02032,0.89962,0.80486,0.87068,0.52313,1.3305,0.87206,1.08288,0.000654804,0.000654804,0.000654804
62,946.16,1.0416,0.78473,1.02152,0.84036,0.76382,0.83105,0.48819,1.22481,0.90576,1.04836,0.0006529,0.0006529,0.0006529
63,960.842,1.01839,0.7794,1.02624,0.82365,0.81598,0.84108,0.48684,1.2717,0.84755,1.03618,0.000650997,0.000650997,0.000650997
64,975.939,1.03601,0.79363,1.02954,0.86427,0.84456,0.90941,0.54702,1.11394,0.85733,1.0068,0.000649094,0.000649094,0.000649094
65,991.181,1.02948,0.78144,1.0229,0.82719,0.90529,0.90665,0.54582,1.30521,0.86116,1.04166,0.00064719,0.00064719,0.00064719
66,1006.28,1.03696,0.77445,1.00459,0.89271,0.86116,0.91688,0.55766,1.25249,0.8645,1.03103,0.000645287,0.000645287,0.000645287
67,1021.66,1.05802,0.78124,1.02614,0.73178,0.87366,0.84477,0.54446,1.15577,0.8488,1.00235,0.000643384,0.000643384,0.000643384
68,1036.93,1.08861,0.8171,1.04395,0.75447,0.86397,0.86007,0.44305,1.37032,0.84391,1.06494,0.000641481,0.000641481,0.000641481
69,1052.56,1.00713,0.74038,1.01117,0.72311,0.91706,0.80904,0.52925,1.12024,0.83987,0.9871,0.000639577,0.000639577,0.000639577
70,1068.05,1.01204,0.78963,1.02104,0.7402,0.85681,0.82959,0.55342,1.13786,0.83612,0.99549,0.000637674,0.000637674,0.000637674
71,1083.39,1.06291,0.85973,1.07027,0.85684,0.89364,0.89574,0.59195,1.09294,0.81542,0.97928,0.000635771,0.000635771,0.000635771
72,1098.39,1.0254,0.77107,1.01666,0.85919,0.89976,0.8932,0.52859,1.33965,0.84648,1.05296,0.000633867,0.000633867,0.000633867
73,1113.66,1.02067,0.74412,1.02221,0.74407,0.8995,0.87137,0.55856,1.16702,0.83511,1.01869,0.000631964,0.000631964,0.000631964
74,1128.75,0.99033,0.744,1.00457,0.8062,0.87535,0.87371,0.54057,1.22792,0.82003,1.03693,0.000630061,0.000630061,0.000630061
75,1143.92,1.04355,0.77538,1.04491,0.88811,0.83372,0.88352,0.55873,1.19991,0.87833,1.03265,0.000628158,0.000628158,0.000628158
76,1159.41,1.05176,0.76835,1.02461,0.83157,0.77286,0.83079,0.55411,1.12887,0.87675,1.00775,0.000626254,0.000626254,0.000626254
77,1174.78,1.02141,0.739,1.02947,0.7687,0.86931,0.8729,0.57079,1.14346,0.79792,1.01705,0.000624351,0.000624351,0.000624351
78,1190.29,0.99065,0.74597,1.02758,0.84343,0.89455,0.88336,0.56397,1.18878,0.81067,1.05478,0.000622448,0.000622448,0.000622448
79,1205.52,1.08352,0.76497,1.04929,0.76552,0.90053,0.8421,0.52624,1.16619,0.8228,1.0288,0.000620545,0.000620545,0.000620545
80,1220.76,1.02921,0.74864,1.01532,0.7496,0.88564,0.8673,0.52749,1.30423,0.83475,1.04213,0.000618641,0.000618641,0.000618641
81,1235.97,1.0146,0.7429,1.02138,0.78734,0.87603,0.86055,0.51913,1.29106,0.84028,1.03637,0.000616738,0.000616738,0.000616738
82,1251.04,1.02148,0.74847,1.03316,0.78063,0.88875,0.86104,0.54868,1.18738,0.79962,1.02415,0.000614835,0.000614835,0.000614835
83,1266.21,0.9766,0.70448,0.99849,0.79696,0.90763,0.886,0.54995,1.13472,0.78542,1.00979,0.000612931,0.000612931,0.000612931
84,1281.31,0.98439,0.70958,0.98009,0.77981,0.87845,0.90361,0.58193,1.09666,0.78559,0.97596,0.000611028,0.000611028,0.000611028
85,1296.44,1.04678,0.74493,1.01869,0.8372,0.74525,0.85466,0.54535,1.23993,0.81177,1.02629,0.000609125,0.000609125,0.000609125
