epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51701,1.24078,3.56396,1.70438,0.56767,0.85,0.88394,0.63748,1.65676,1.06083,1.37975,0,0,0
2,2.81421,1.05568,2.78427,1.41442,0.5564,0.85,0.89317,0.62252,1.67008,1.0519,1.38223,7.973e-07,7.973e-07,7.973e-07
3,4.0777,1.43496,4.34915,1.58712,0.54963,0.85,0.85649,0.62266,1.68333,1.0521,1.38903,8.092e-07,8.092e-07,8.092e-07
